,Open,High,Low,Close,Volume,Adj Close
0,778.200012,781.650024,763.450012,768.700012,1872400,768.700012
1,767.25,769.950012,759.030029,762.130005,1943200,762.130005
2,750.659973,770.359985,750.560974,762.02002,2134800,762.02002
3,774.5,785.190002,772.549988,782.52002,1585100,782.52002
4,783.400024,795.632996,780.190002,790.51001,1350800,790.51001
5,779.940002,791.22699,771.669983,785.309998,2607100,785.309998
6,791.169983,791.169983,752.179993,762.559998,4745200,762.559998
7,756.539978,760.780029,750.380005,754.02002,2431800,754.02002
8,755.599976,757.849976,727.539978,736.080017,3631700,736.080017
9,746.969971,764.416016,746.969971,758.48999,2384000,758.48999
10,755.200012,766.359985,750.51001,764.47998,1465200,764.47998
11,766.919983,772.700012,764.22998,771.22998,1304000,771.22998
12,771.369995,775,760,760.539978,1547100,760.539978
13,762.609985,769.700012,760.599976,769.200012,1330600,769.200012
14,772.630005,776.960022,767,768.27002,1593100,768.27002
15,767.72998,768.28302,755.25,760.98999,1477400,760.98999
16,764.26001,765,760.52002,761.679993,587400,761.679993
17,760,779.530029,759.799988,768.23999,2188200,768.23999
18,771.530029,778.5,768.23999,770.840027,1616600,770.840027
19,770.070007,772.98999,754.830017,758.039978,2392900,758.039978
20,757.440002,759.849976,737.025024,747.919983,3017900,747.919983
21,744.590027,754,743.099976,750.5,1452500,750.5
22,757.710022,763.900024,752.900024,762.52002,1394200,762.52002
23,764.72998,768.830017,757.340027,759.109985,1690700,759.109985
24,761,771.359985,755.799988,771.190002,1761000,771.190002
25,772.47998,778.179993,767.22998,776.419983,1488100,776.419983
26,780,789.429993,779.020996,789.289978,1821900,789.289978
27,785.039978,791.25,784.35498,789.27002,2104100,789.27002
28,793.900024,804.380005,793.340027,796.099976,2145200,796.099976
29,797.400024,804,794.01001,797.070007,1704200,797.070007
30,797.340027,803,792.919983,797.849976,1626500,797.849976
31,800.400024,800.856018,790.289978,790.799988,2428300,790.799988
32,790.219971,797.659973,786.27002,794.200012,1232100,794.200012
33,796.76001,798.650024,793.27002,796.419983,951000,796.419983
34,795.840027,796.676025,787.099976,794.559998,1211300,794.559998
35,792.359985,793.320007,788.580017,791.26001,972200,791.26001
36,790.900024,792.73999,787.280029,789.909973,623400,789.909973
37,790.679993,797.859985,787.656982,791.549988,789100,791.549988
38,793.700012,794.22998,783.200012,785.049988,1153800,785.049988
39,783.330017,785.929993,778.919983,782.789978,742200,782.789978
40,782.75,782.780029,770.409973,771.820007,1770000,771.820007
41,778.809998,789.630005,775.799988,786.140015,1657300,786.140015
42,788.359985,791.340027,783.159973,786.900024,1073000,786.900024
43,786.080017,794.47998,785.02002,794.02002,1335200,794.02002
44,795.26001,807.900024,792.203979,806.150024,1640200,806.150024
45,806.400024,809.966003,802.830017,806.650024,1272400,806.650024
46,807.859985,809.130005,803.51001,804.789978,1176800,804.789978
47,805,808.150024,801.369995,807.909973,1065900,807.909973
48,807.140015,807.390015,799.169983,806.359985,1353100,806.359985
49,807.47998,811.223999,806.690002,807.880005,1099200,807.880005
50,807.080017,807.140015,800.369995,804.609985,1355800,804.609985
51,805.809998,806.205017,800.98999,806.070007,1294400,806.070007
52,805.119995,809.47998,801.799988,802.174988,919300,802.174988
53,806.909973,806.909973,801.690002,805.02002,1670000,805.02002
54,807.25,820.869995,803.73999,819.309998,1963600,819.309998
55,822.299988,825.900024,817.820984,823.869995,1474000,823.869995
56,829.619995,835.77002,825.059998,835.669983,1494500,835.669983
57,837.809998,838,827.01001,832.150024,2973900,832.150024
58,834.710022,841.950012,820.440002,823.309998,2965800,823.309998
59,814.659973,815.840027,799.799988,802.320007,3246600,802.320007
60,796.859985,801.25,790.52002,796.789978,2160600,796.789978
61,799.679993,801.190002,791.190002,795.695007,2029700,795.695007
62,793.799988,802.700012,792,798.530029,1532100,798.530029
63,802.98999,806,800.369995,801.48999,1463400,801.48999
64,799.700012,801.669983,795.25,801.340027,1184500,801.340027
65,803.98999,810.5,801.780029,806.969971,1241200,806.969971
66,807,811.840027,803.190002,808.380005,1155300,808.380005
67,809.51001,810.659973,804.539978,809.559998,989700,809.559998
68,811.700012,815.25,809.780029,813.669983,1135000,813.669983
69,816,820.958984,815.48999,819.23999,1213300,819.23999
70,819,823,816,820.450012,1053600,820.450012
71,819.359985,823,818.469971,818.97998,1313600,818.97998
72,819.929993,824.400024,818.97998,824.159973,1287600,824.159973
73,823.02002,828.070007,821.655029,828.070007,1611000,828.070007
74,828.659973,833.450012,828.349976,831.659973,1262300,831.659973
75,828.659973,833.25,828.640015,830.76001,982900,830.76001
76,830.119995,832.460022,822.880005,831.330017,1472800,831.330017
77,827.72998,829,824.200012,828.640015,1392200,828.640015
78,824.549988,830.5,824,829.280029,1101500,829.280029
79,825.609985,828.539978,820.200012,823.210022,2260800,823.210022
80,828.849976,836.255005,827.26001,835.23999,1496500,835.23999
81,833.849976,834.51001,829.640015,830.630005,942500,830.630005
82,830.559998,831.359985,825.750977,829.080017,896400,829.080017
