,preCloseIndex,openIndex,lowestIndex,highestIndex,turnoverVol,closeIndex,label,,,,,
59,1325.76001,1327.02002,1312.94995,1334.87,3686980000,1315.21997,1369.31006,1369.84998,1362.82996,1380.91003,3703100000,1370.40002
60,1315.21997,1315.92004,1312.81006,1328.52002,4188990000,1322.69995,1370.40002,1373.68994,1369.02002,1386.73999,3747780000,1372.54004
61,1322.69995,1326.41003,1326.41003,1370.18005,4745120000,1370.18005,1372.54004,1370.16003,1360.62,1370.16003,3602500000,1365.54004
62,1370.18005,1369.95996,1361.55005,1377.94995,4320440000,1367.53003,1365.54004,1365.5,1349.96997,1368.39001,3556670000,1354.48999
63,1367.53003,1365.68994,1358.68005,1375.66003,3920100000,1369.31006,1354.48999,1355.37,1350.10999,1367.23999,3686150000,1360.55005
64,1369.31006,1369.84998,1362.82996,1380.91003,3703100000,1370.40002,1360.55005,1357.97998,1331.20996,1357.97998,3723790000,1332.82996
65,1370.40002,1373.68994,1369.02002,1386.73999,3747780000,1372.54004,1332.82996,1332.19995,1326.16003,1335.64001,3565020000,1328.31995
66,1372.54004,1370.16003,1360.62,1370.16003,3602500000,1365.54004,1328.31995,1331.71997,1324.34998,1337.71997,3581230000,1334.43005
67,1365.54004,1365.5,1349.96997,1368.39001,3556670000,1354.48999,1334.43005,1337.02002,1337.02002,1365.48999,4260370000,1364.70996
68,1354.48999,1355.37,1350.10999,1367.23999,3686150000,1360.55005,1364.70996,1363.37,1357.25,1368.59998,3713880000,1365.56006
69,1360.55005,1357.97998,1331.20996,1357.97998,3723790000,1332.82996,1365.56006,1369,1369,1395.90002,4222380000,1390.32996
70,1332.82996,1332.19995,1326.16003,1335.64001,3565020000,1328.31995,1390.32996,1387.71997,1379.25,1390.22998,3420570000,1388.17004
71,1328.31995,1331.71997,1324.34998,1337.71997,3581230000,1334.43005,1388.17004,1386.43005,1369.83997,1386.43005,3821900000,1375.93994
72,1334.43005,1337.02002,1337.02002,1365.48999,4260370000,1364.70996,1375.93994,1378.40002,1372.23999,1387.87,4103610000,1379.93005
73,1364.70996,1363.37,1357.25,1368.59998,3713880000,1365.56006,1379.93005,1380.52002,1371.08997,1397.71997,4461660000,1388.81995
74,1365.56006,1369,1369,1395.90002,4222380000,1390.32996,1388.81995,1387.88,1379.97998,1399.10999,3891150000,1397.83997
