,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,label
199,110.95,113.125,108.563,111.125,7708200,92.875
200,111.39,113.813,108.563,113,8104700,91.438
201,96.27,98,90.25,95.5,29750900,87.563
202,97.52,98.438,92.688,96.438,17960400,92.75
203,94.66,96.25,94.188,94.75,9354200,93.688
204,94.28,94.938,91.063,92.875,9333800,93.313
205,92.54,94,90.188,91.438,8812300,98.5
206,90.05,90.938,87,87.563,14056900,98.563
207,88,92.875,87.625,92.75,10128200,101.938
208,92.54,93.688,91,93.688,6420600,100.125
209,93.04,93.75,90.313,93.313,8075700,100.313
210,93.75,99.125,93.75,98.5,10902100,102.313
211,97.95,99.875,97.25,98.563,7449600,100
212,99,102.313,98.563,101.938,7441300,99.438
213,102,102.5,99.375,100.125,5838200,93
214,99.87,102.375,99.438,100.313,4441700,97.438
215,101.12,103.5,100.688,102.313,5415600,99.5
216,103.25,103.75,99.25,100,6954400,99.375
217,96.4,100,95.75,99.438,9016400,98.25
218,97.64,98.375,93,93,6787000,101.938
219,91.81,99.438,91.625,97.438,8664100,103.25
220,98.89,99.875,98.563,99.5,5132400,98.5
221,99.14,100,97.625,99.375,4133800,98.5
222,98.89,99.688,98.25,98.25,3692700,99.938
223,98.31,102.5,98.25,101.938,7711000,98.438
224,101.13,103.25,100.875,103.25,7426400,97.875
225,102.87,104.313,98.5,98.5,7178200,99.813
226,98.5,100.813,98.375,98.5,5532100,93.5
227,99.37,101.75,99.25,99.938,2497500,95.625
228,100.07,102,98.438,98.438,3866000,98.375
229,98.39,100.75,97.563,97.875,4785700,103.375
230,97.39,99.938,96.688,99.813,5507300,96.75
231,97.64,98,92.25,93.5,10626000,95.375
232,94.44,99.313,94.375,95.625,7525100,97
233,96,99.188,95.75,98.375,5565600,95
234,100.07,104.75,99.688,103.375,7803500,93.875
235,101.38,101.75,94.875,96.75,10002800,91.25
236,94.71,95.938,93.125,95.375,7897800,92.438
237,97.64,99,95.75,97,6132200,87.813
238,96.15,98.188,93.813,95,6176900,90.5
239,94.9,96.125,92.5,93.875,7912900,90.125
240,94.53,96.625,90.688,91.25,6991400,86
241,92,93.688,91.813,92.438,6117300,81.563
242,89.67,90.688,87.313,87.813,13947800,89
243,88.37,90.5,88.37,90.5,7625200,84.813
244,89.86,94.375,89.813,90.125,7705200,84.688
245,85.56,88,84.813,86,12427900,85.25
246,85.19,87.938,80.125,81.563,12585800,85
247,84.5,89.375,84.5,89,9514000,87.5
248,88.67,89.563,84.25,84.813,6030800,94.688
249,84.44,88.125,83.563,84.688,8241500,99.75
250,83.19,88.188,82.125,85.25,9742800,94.688
251,86.62,86.938,84.25,85,6942000,93.938
252,84.5,87.5,84.5,87.5,6915500,95.75
253,83.75,95,83.75,94.688,12769100,94.938
254,94.75,99.75,93.188,99.75,13126000,94.25
255,93.938,94.688,93.938,94.688,6978100,96.438
256,93.5,93.938,93.5,93.938,5352900,92.75
257,94.438,95.75,92.563,95.75,5969000,97.75
258,92.5,94.938,92.5,94.938,6491300,108.313
259,92.938,94.25,92.938,94.25,7392100,111.25
260,93.688,96.438,93.688,96.438,5507300,108.563
261,93.41,94,91.813,92.75,5607800,109.063
262,95.375,97.75,95.375,97.75,7868000,110.438
