,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,label
105,1385.67004,1386.42004,1370.12,1393.12,1377.6500199999998,4396380000,1358.43994
106,1377.6500199999998,1376.26001,1371.73999,1388.18005,1377.19995,4338640000,1335.48999
107,1377.19995,1377.47998,1377.47998,1404.05005,1404.05005,4350790000,1339.87
108,1404.05005,1400.06006,1359.9000199999998,1400.06006,1360.68005,4771660000,1360.0300300000001
109,1360.68005,1360.82996,1350.62,1370.63,1361.76001,4404570000,1360.14001
110,1361.76001,1358.97998,1351.56006,1366.83997,1358.43994,4635070000,1350.93005
111,1358.43994,1357.08997,1335.4699699999999,1357.08997,1335.48999,4779980000,1337.81006
112,1335.48999,1335.7800300000001,1331.29004,1353.0300300000001,1339.87,4734240000,1342.82996
113,1339.87,1341.81006,1341.70996,1360.0300300000001,1360.0300300000001,4080420000,1317.93005
114,1360.0300300000001,1358.8499800000002,1352.06995,1364.69995,1360.14001,3706940000,1318.0
115,1360.14001,1360.70996,1350.54004,1366.58997,1350.93005,3801960000,1314.29004
116,1350.93005,1349.58997,1333.4000199999998,1349.58997,1337.81006,4573570000,1321.9699699999999
117,1337.81006,1336.89001,1330.5,1347.66003,1342.82996,4811670000,1283.1500199999998
118,1342.82996,1341.02002,1314.45996,1341.02002,1317.93005,5324900000,1278.38
119,1317.93005,1319.77002,1315.31006,1323.7800300000001,1318.0,4186370000,1280.0
120,1318.0,1317.22998,1304.42004,1326.02002,1314.29004,4705050000,1284.91003
121,1314.29004,1314.54004,1314.54004,1335.63,1321.9699699999999,4825640000,1261.52002
122,1321.9699699999999,1316.29004,1283.1500199999998,1316.29004,1283.1500199999998,5231280000,1262.9000199999998
123,1283.1500199999998,1283.5999800000002,1272.0,1289.44995,1278.38,6208260000,1252.31006
124,1278.38,1278.06006,1274.85999,1290.31006,1280.0,5032330000,1273.69995
125,1280.0,1276.68994,1260.68005,1285.31006,1284.91003,5846290000,1244.68994
126,1284.91003,1285.81995,1261.51001,1292.17004,1261.52002,5276090000,1253.39001
127,1261.52002,1262.95996,1252.01001,1271.47998,1262.9000199999998,3247590000,1239.48999
128,1262.9000199999998,1262.9000199999998,1240.68005,1273.94995,1252.31006,5265420000,1228.30005
129,1252.31006,1251.83997,1242.83997,1274.17004,1273.69995,6034110000,1214.91003
130,1273.69995,1273.38,1244.56995,1277.35999,1244.68994,5181000000,1245.35999
131,1244.68994,1245.25,1236.76001,1257.6500199999998,1253.39001,5840430000,1260.31995
132,1253.39001,1248.66003,1225.3499800000002,1257.27002,1239.48999,6742200000,1260.68005
133,1239.48999,1241.60999,1225.01001,1253.5,1228.30005,5434860000,1260.0
134,1228.30005,1226.82996,1200.43994,1234.3499800000002,1214.91003,7363640000,1277.0
135,1214.91003,1214.6500199999998,1211.39001,1245.52002,1245.35999,6738630000,1282.18994
136,1245.35999,1246.31006,1241.48999,1262.31006,1260.31995,7365210000,1252.54004
137,1260.31995,1258.2199699999999,1251.81006,1262.22998,1260.68005,5653280000,1257.76001
138,1260.68005,1261.81995,1255.69995,1267.73999,1260.0,4630640000,1234.37
139,1260.0,1257.07996,1248.82996,1277.42004,1277.0,6180230000,1263.19995
140,1277.0,1278.87,1276.06006,1291.17004,1282.18994,6705830000,1284.26001
141,1282.18994,1283.2199699999999,1251.47998,1283.2199699999999,1252.54004,6127980000,1267.38
142,1252.54004,1253.51001,1251.75,1263.22998,1257.76001,4672560000,1260.31006
143,1257.76001,1257.76001,1234.37,1260.08997,1234.37,4282960000,1249.01001
144,1234.37,1236.38,1236.38,1263.19995,1263.19995,5414240000,1284.88
145,1263.19995,1264.52002,1264.52002,1284.32996,1284.26001,5631330000,1289.18994
146,1284.26001,1281.37,1265.9699699999999,1284.93005,1267.38,5346050000,1266.06995
147,1267.38,1269.42004,1254.54004,1270.52002,1260.31006,4684870000,1296.31995
148,1260.31006,1253.27002,1247.44995,1260.48999,1249.01001,4562280000,1305.31995
149,1249.01001,1254.87,1254.67004,1284.88,1284.88,1219310000,1289.58997
150,1284.88,1283.98999,1276.0,1291.67004,1289.18994,4873420000,1285.82996
151,1289.18994,1286.51001,1264.29004,1286.51001,1266.06995,5319380000,1292.93005
152,1266.06995,1266.29004,1262.10999,1297.8499800000002,1296.31995,4966810000,1298.19995
153,1296.31995,1294.42004,1291.41003,1313.1500199999998,1305.31995,5067310000,1278.5999800000002
154,1305.31995,1304.79004,1285.64001,1304.79004,1289.58997,4711290000,1266.68994
155,1289.58997,1288.64001,1274.85999,1294.0300300000001,1285.82996,4787600000,1274.54004
156,1285.82996,1282.10999,1276.83997,1300.10999,1292.93005,4064000000,1277.7199699999999
157,1292.93005,1293.8499800000002,1290.73999,1302.05005,1298.19995,4041820000,1292.19995
158,1298.19995,1298.14001,1274.51001,1300.2199699999999,1278.5999800000002,3829290000,1266.83997
159,1278.5999800000002,1276.6500199999998,1263.10999,1276.6500199999998,1266.68994,4159760000,1271.51001
160,1266.68994,1267.33997,1261.16003,1276.01001,1274.54004,4555030000,1281.66003
161,1274.54004,1271.06995,1265.2199699999999,1281.4000199999998,1277.7199699999999,4032590000,1300.68005
162,1277.7199699999999,1277.58997,1277.58997,1293.08997,1292.19995,3741070000,1282.82996
163,1292.19995,1290.4699699999999,1264.87,1290.4699699999999,1266.83997,3420600000,1277.57996
164,1266.83997,1267.0300300000001,1263.20996,1275.6500199999998,1271.51001,3587570000,1274.97998
165,1271.51001,1271.29004,1270.0300300000001,1285.05005,1281.66003,3499610000,1236.82996
166,1281.66003,1283.79004,1283.79004,1300.68005,1300.68005,3854280000,1242.31006
167,1300.68005,1296.48999,1282.73999,1297.58997,1282.82996,3288120000,1267.79004
168,1282.82996,1287.82996,1272.19995,1303.04004,1277.57996,4783560000,1224.51001
169,1277.57996,1276.60999,1265.58997,1280.5999800000002,1274.97998,5056980000,1232.04004
170,1274.97998,1271.80005,1232.82996,1271.80005,1236.82996,5212500000,1249.05005
171,1236.82996,1233.20996,1217.22998,1244.93994,1242.31006,5017080000,1251.69995
172,1242.31006,1249.5,1247.12,1274.42004,1267.79004,7351340000,1192.69995
173,1267.79004,1267.97998,1224.51001,1268.66003,1224.51001,7380630000,1213.5999800000002
174,1224.51001,1227.5,1221.5999800000002,1243.9000199999998,1232.04004,6543440000,1156.39001
175,1232.04004,1229.04004,1211.54004,1249.97998,1249.05005,6869250000,1206.51001
176,1249.05005,1245.88,1233.81006,1255.08997,1251.69995,6273260000,1255.07996
177,1251.69995,1250.92004,1192.69995,1250.92004,1192.69995,8279510000,1207.08997
178,1192.69995,1188.31006,1169.2800300000001,1214.83997,1213.5999800000002,9459830000,1188.2199699999999
179,1213.5999800000002,1210.33997,1155.88,1210.33997,1156.39001,9431870000,1185.87
180,1156.39001,1157.07996,1133.5,1211.14001,1206.51001,10082690000,1209.18005
181,1206.51001,1213.10999,1213.10999,1265.12,1255.07996,9387170000,1213.27002
182,1255.07996,1255.37,1205.60999,1255.37,1207.08997,5368130000,1106.42004
183,1207.08997,1207.60999,1187.06006,1221.1500199999998,1188.2199699999999,5185730000,1166.35999
184,1188.2199699999999,1188.79004,1179.79004,1197.41003,1185.87,4820360000,1161.06006
185,1185.87,1187.87,1187.87,1220.0300300000001,1209.18005,5877640000,1114.2800300000001
186,1209.18005,1204.4699699999999,1187.54004,1215.77002,1213.27002,5383610000,1099.22998
187,1213.27002,1209.06995,1106.42004,1209.06995,1106.42004,7305060000,1056.89001
188,1106.42004,1113.7800300000001,1113.7800300000001,1168.0300300000001,1166.35999,4937680000,996.2299800000001
189,1166.35999,1164.17004,1140.77002,1167.0300300000001,1161.06006,5782130000,984.94
190,1161.06006,1160.64001,1111.43005,1160.64001,1114.2800300000001,6285640000,909.9199800000001
191,1114.2800300000001,1115.16003,1098.14001,1153.81995,1099.22998,6716120000,899.2199699999999
192,1099.22998,1097.56006,1007.9699699999999,1097.56006,1056.89001,7956020000,1003.3499800000001
193,1056.89001,1057.5999800000002,996.2299800000001,1072.91003,996.2299800000001,7069210000,998.01001
194,996.2299800000001,988.9099699999999,970.9699699999999,1021.06,984.94,8716330000,907.8400300000001
195,984.94,988.4199800000001,909.19,1005.25,909.9199800000001,6819000000,946.4299900000001
196,909.9199800000001,902.31,839.7999900000001,936.35999,899.2199699999999,11456230000,940.5499900000001
197,899.2199699999999,912.75,912.75,1006.9299900000001,1003.3499800000001,7263370000,985.4000199999999
198,1003.3499800000001,1009.9699699999999,972.0700099999999,1044.31006,998.01001,8161990000,955.0499900000001
199,998.01001,994.5999800000001,903.98999,994.5999800000001,907.8400300000001,6542330000,896.7800300000001
200,907.8400300000001,909.5300300000001,865.8300199999999,947.7100199999999,946.4299900000001,7984500000,908.10999
201,946.4299900000001,942.2899800000001,918.73999,984.64001,940.5499900000001,6581780000,876.7700199999999
202,940.5499900000001,943.51001,943.51001,985.4000199999999,985.4000199999999,5175640000,848.9199800000001
203,985.4000199999999,980.4000199999999,952.4699699999999,985.44,955.0499900000001,5121830000,940.51001
204,955.0499900000001,951.6699800000001,875.81,951.6699800000001,896.7800300000001,6147980000,930.0900300000001
205,896.7800300000001,899.0800199999999,858.44,922.8300199999999,908.10999,7189900000,954.0900300000001
206,908.10999,895.2199699999999,852.8499800000001,896.2999900000001,876.7700199999999,6550050000,968.75
207,876.7700199999999,874.2800300000001,846.75,893.7800300000001,848.9199800000001,5558050000,966.2999900000001
208,848.9199800000001,848.9199800000001,845.2700199999999,940.51001,940.51001,7096950000,1005.75
209,940.51001,939.51001,922.26001,969.9699699999999,930.0900300000001,7077800000,952.7700199999999
210,930.0900300000001,939.38,928.5,963.2299800000001,954.0900300000001,6175830000,904.88
211,954.0900300000001,953.10999,944.5900300000001,984.38,968.75,6394350000,930.98999
212,968.75,968.6699800000001,958.8200099999999,975.5700099999999,966.2999900000001,4492280000,919.2100199999999
213,966.2999900000001,971.31,971.31,1007.51001,1005.75,5531290000,898.9500099999999
214,1005.75,1001.8400300000001,949.85999,1001.8400300000001,952.7700199999999,5426640000,852.2999900000001
215,952.7700199999999,952.4000199999999,899.7299800000001,952.4000199999999,904.88,6102230000,911.2899800000001
216,904.88,907.44,906.9000199999999,931.4600199999999,930.98999,4931640000,873.2899800000001
217,930.98999,936.75,907.4699699999999,951.9500099999999,919.2100199999999,4572000000,850.75
218,919.2100199999999,917.1500199999999,884.9000199999999,917.1500199999999,898.9500099999999,4998340000,859.12
219,898.9500099999999,893.39001,850.4799800000001,893.39001,852.2999900000001,5764180000,806.58002
220,852.2999900000001,853.13,818.69,913.01001,911.2899800000001,7849120000,752.44
221,911.2899800000001,904.35999,869.88,916.88,873.2899800000001,5881030000,800.03003
222,873.2899800000001,873.2299800000001,848.9799800000001,882.2899800000001,850.75,4927490000,851.81
223,850.75,852.3400300000001,826.84003,865.9000199999999,859.12,6679470000,857.39001
224,859.12,859.0300300000001,806.1799900000001,864.5700099999999,806.58002,6548600000,887.6799900000001
225,806.58002,805.87,747.78003,820.52002,752.44,9093740000,896.23999
